text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
"아니 그냥 읽고 있었는데 갑자기 왜 이준석이 청년 세대를 대표하고 성평등하다고 하는지 모르겠네.. 언제 이준석이 날 대표했는지??. ?? ?? 물음표 100만개

그리고 이번 대선은 청년 세대 (ㅋㅋ)인 저도 퇴행적이라 생각하는데.. ㅠㅠ 정의당 대변인 입장에 동의할 수는 없네여.. https://t.co/SvV6wmD4Yd",0.04,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.13,0.79
"한 정당에 처음으로 정치적 후원을 해봤고 처음으로 한 정치인의 팬이 되어 응원을 했던 사람으로써 지금의 정의당은 본연의 색을 전부 잃었다고 생각함, 그나마 심상정 후보님이 있기에 정말 그나마 지지하는 층이 있는게 아닐지.",0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.05,0.91
"저는 언제나 심상정을 믿습니다, 그러나 지금의 정의당은 믿지 못하겠습니다 후보님 https://t.co/gaiAnKtz4V",0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.81
정의당만큼 진보 성향 강하게 띄는 정당이 없고 또 심상정만큼 예나 지금이나 대쪽같이 자신의 신념을 밀고 나가는 사람도 없음. 근데 아무것도 모르는 사람들한테 윤 막을려면 이 뽑자면서 심 표 다 처 뺏어갈려고 함. 아니 씨발 투표가 무슨 다단계냐? 설득해서 뽑게? 그냥 본인 신념대로 뽑는거지.,0.03,0.01,0.01,0.03,0.01,0.02,0.02,0.03,0.85,0.06
"내가 여초커뮤나 트위터에서 제일 역겨운 점은 진보=선, 보수=악과 같이 이분법적으로만 보는 사람들이 많기 때문임. 즈그들 말로는 차악 뽑는거야 웅앵~ 하는데. 응 아니야 민주당 너네들 선동하는 거 티 다나. 존나 역겨움. 찐 좌파진보라면 정의당을 지지하는게 맞다.",0.39,0.01,0.02,0.03,0.02,0.03,0.01,0.26,0.4,0.06
이재명일당과 좌적폐 역겨운 점이 정의롭고 모범적인 시민들만을(모범적이고 정의로운 시민이니 부정부패를 지적했겠지) 음해하고 모함하고 악마화하고 가혹하게 집단이지메를 해 그 분들의 내면과 삶을 짓밟았단 거임. 좌적폐들 모두 공범임. 정의당 포함 니들은 피해자들에게 먼저 사과부터해라,0.08,0.01,0.03,0.05,0.03,0.09,0.08,0.68,0.43,0.05
참고로 본인은 선거 하면 대체로 정의당 뽑던 사람인데... ... 이번은 ...  ... ... .. .,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.08,0.89
@battrrrr 원래 민주당혐 하는 분들이겠져 개혁당 참여당 정의당 찍었었던 그런,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.09,0.88
가끔은 정의당 대통령 같은 거 어케 굴러갈지 살짝 궁금하긴 한데 (개꿀잼 몰카) 한국은 의원 내각제도 아니고 의회 해산도 없어서 생각 속에만 남기기로,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.1,0.88
@MERRY__marry 정의당쪽인가,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.08,0.89
공약 낸거 진짜 홀라당 가져가는 경우도 많은데 심이 먼저낸걸 민주당이 가져가면 '정의당은 집권할 가능성이 없어서 그냥 질러! 하지만 민주당은 현실에서 해낸다!'에서 칭찬레파토리가 하나 더 늘었군 '좋은 공약은 남의 공약이라도 받아들이는 태도' 😂,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.78
원래도 그랬지만 이번 선거에서 민주당 지지자들이 특히 더 정의당 투표하는거에 발작하는듯 ? 그만큼 이기기 어려우니까 그러는거긴 하겠지만 뭐 그러면 애초에 찢재명을 후보로 올리지 말았어야 맞음 .. 재명이 후보로 올리고 무조건 옹립하라니 ㅜ 싫어 새끼들아,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.05,0.83,0.07
고 노회찬 의원 계실때 정의당으로 안돌아 오면 끝 그만 노동자 피빠시고 할매 정신 차리쇼 당신 찍으면 윤석렬 악마 집단이 당선됨 https://t.co/zgZuz21Q6v,0.08,0.01,0.01,0.02,0.03,0.01,0.01,0.07,0.62,0.07
"@VAMPS_Hydeto 소수당의 한계죠 모,,,,정의당이 집권하는 것보다 사실 심상정이 민주당 들어가서 대통령하는게 현실성 있으니",0.03,0.01,0.03,0.02,0.01,0.01,0.01,0.05,0.15,0.5
심상정 후보나 정의당에 대한 내 호불호나 입장과는 별개로 안타까운 마음은 있다... 국힘이 아직까지 필사적으로 한 자리로 결집해야만 막을 수 있을 정도로 강하기 때문에 우리에게 제 3의 선택지란 너무 어려운 문제가 되었으니까...,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.05,0.92
"정의당은 노동자를 위하고 약자를 위하는 좋은 생각을 많이 가진 정당이라고 생각하는데 왜 사람들의 지지가 이렇게 지지부진할까 생각했는데.. 이제  [[영상] 심상정, ‘난 페미니스트’ 외신 인터뷰 놓고 ...] https://t.co/oCsEvY556S",0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.11,0.8
하 정의당 심상정 내가 마통이 넘 많이 쌓였다,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.09,0.86
"심찍홍, 심찍윤.
정의당도 알고있겠지.
표 맡겨놨냐! https://t.co/cXWFDZFcWG",0.02,0.01,0.01,0.02,0.0,0.03,0.01,0.01,0.18,0.61
"🕊정전협정 70년이 되기 전에 한국전쟁을 끝냅시다

한반도 평화선언 #KoreaPeaceAppeal 서명에 정의당 #심상정 후보, 진보당 #김재연 후보가 동참하였습니다👍

남북·북미 합의 이행과 한반도 종전 평화, 차기 정부가 꼭 추진해야할 과제입니다

한반도 평화선언 서명운동
✍️ https://t.co/WnmvYQUCWn https://t.co/kNgU6AcFXN",0.02,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.07,0.89
정의당 구성원들 민주당으로 옮겨오고 싶은건가??,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.76
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 정의당 소보루당이라고 하는거도 웃김ㅋㅋㅋㅋㅋㅋㅋㅋ,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.29,0.58
헤에 정의당이 잇으시군요Wwwww,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.06,0.91
내가 왜 정의당을 화전민 정치 하냐고 했냐면 물을 끌어다 논밭을 만드는게 아니라 불태운다음 또 떠 새땅에 불지르러 떠나야 하기 때문이다.,0.01,0.01,0.01,0.02,0.0,0.02,0.01,0.01,0.27,0.63
"나 개비한테 페미특강을 꽤 잘 했나봐
개비가 뜬금없이 심상정이 정의당은 페미니즘 정당이라고 했다면서 바람직하다고 함
뭔가 내 반응을 원한 것 같았는데 좀 어이없어서 걍 있었음",0.19,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.09,0.63
정의당이 오히려 여혐을 일삼는거 같다 행동들만 보면 국짐당 다음 수준인거 같음 https://t.co/0tEeWp5JWO,0.1,0.01,0.01,0.03,0.01,0.03,0.01,0.08,0.41,0.11
당장 정의당 주류하고도 정치적 스탠스가 딱히 차이 안나던 시절도 있었건만ㅉㅉ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.75
"@sangjungsim 오늘까지 고민했는데, 방금 마음 잡았네요. 항상 그랬듯이 정의당 소신있게 지지하겠습니다.",0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.11,0.84
"[세상읽기] 심상정의 50일, 정의당의 5년 https://t.co/AGKMpqAd3h",0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.9
"[2030여성 집중 유세] 차별과 혐오를 근본적으로 해결하는 대통령이 되겠습니다. (출처 : 정의당 대.. | 블로그) https://t.co/SuQkihVaTE

지난번 5년 전에는 모든 후보들이 페미니스트를 주장했는데 5년 후의 대한민국이 역주행하고 있습니다.",0.29,0.02,0.03,0.01,0.01,0.01,0.0,0.05,0.12,0.51
