text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
여성들도 전략투표 하자 소신투표는 다음에도 기회가 많다 이번 기회에 여성의 단합된 힘을 보여줍시다 기호1번에 몰표 갑시다,1,0.76,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.05,0.34
이 여시 언냐들이 소신투표 이지랄 하면서 윤 뽑으니까 여성 중 30대가 윤 지지자 젤 높게나옴,0,0.75,0.04,0.01,0.02,0.04,0.04,0.0,0.04,0.06,0.2
여기까지 와서도 소신투표 타령 ㅋㅋㅋ 표 분산에 여자들 책임이 없긴 왜 없어,0,0.75,0.04,0.01,0.01,0.01,0.02,0.01,0.02,0.14,0.11
난 차악을 뽑겠다 윤은 그냥 최악도 아니고 진짜 그야말로 똥이야 여자들 살기 겁나 힘들어질게 분명함 소신투표보다는 저놈만은 안된다는 각오가 필요할듯,0,0.75,0.04,0.02,0.02,0.01,0.01,0.01,0.02,0.18,0.13
여성을 위해 여성정책을 약속한 여성후보 뽑겠다고 마음으로 소신 투표하겠다는 여자들만 있는게 아냐 이재명이 이낙연 누르고 민주당 후보된거 열받으니까 후보 개인에 대한 감정으로 윤 밀어주려 소신소신 부르짖는 여자들이 엄청 많다고요 여초커뮤 1년 이상 한사람들은 다 알아요,0,0.75,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.07,0.27
다른 여자들은 소신투표 전략투표 하면서 어떻게 하면 덜 죽을지 살아남을지 고민하고 주변여자들 회유하는데 두달ㅋㅋㅋ기념총공ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ여성주의가 사치라고 생각,0,0.74,0.04,0.01,0.02,0.01,0.01,0.01,0.02,0.09,0.24
어차피 여자들은 윤석열 안뽑을거니까 소신투표하게 유도하라고 하는 펨코 이걸보니 더욱 전략투표해서 이재명 뽑아야겠다는 생각을 했다 불꽃추적단 박지현 가보자고,0,0.74,0.04,0.02,0.01,0.01,0.02,0.01,0.02,0.08,0.24
윤석열 정부가 된다면 분산된 여자표는 수면위로 떠오르지도 않고 이대남의 결집 으로 당선된 당이니 그대로 반페미니즘이 국가 정서가 될거고요 소신투표로 신념을 피력하는 대가로 5년동안 한녀들은 미친 반페미한남새끼들이 주도하는 정치에 공포에 떨면서 살아야 할텐데요,1,0.73,0.38,0.02,0.04,0.03,0.02,0.01,0.03,0.03,0.03
근데 위기자는 진짜 소신투표랑 여자들 화염병 얘기 때문에 계펑한거야,0,0.73,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.11,0.27
요번 대선에 큰거 안바람 소신투표건 전략적투표건 간에 일단 여자덜 어데든지 한표 행사해주길 바람 말고대로의 사표만 안만들었음 조컷다,0,0.73,0.04,0.01,0.02,0.01,0.02,0.01,0.02,0.09,0.17
트렌드에 소신투표 떴길래 봤더니 가관이네ㅋㅋㅋ 윤석열되면 여자 다 죽어나간다고 의석수에서도 밀리는데 어떻게 죽여요 욕설이 일상인 보확찢이 더 무서워야되는거 아닌가 입만 열면 혐오 비하 발언하는 후보도 있는데 윤석열되면 큰일날것처럼 말하는 사람들 민주당 독재 더 보고싶으세여,0,0.73,0.04,0.03,0.01,0.01,0.01,0.01,0.04,0.25,0.12
소신투표 이재명한테 해야한다 왜냐하면 이재명이라는 인간 자체는 못돼먹었을지라도 윤석열은 2030표를 얻고 날아가기 때문이다 여혐 사상으로 집권한 사람이 과연 여자 편을 들어주겠냐 여혐 정책으로 보답할거다 지금 이재명 마음에 안 든다고 어쩌고 저쩌고 여자 좆된다고,0,0.73,0.03,0.01,0.02,0.01,0.01,0.01,0.03,0.14,0.09
제발전략투표부탁드립니다 소신투표했다가다같이죽을건가요 전략투표합시다 저나제친구들처럼 부자가아니면 그냥다죽어요 부자여도 여자면 죽어요 님들다여자잔아요 제발전략투표부탁드립니다,0,0.73,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.11,0.23
소신투표했다가 여자들 다 죽게생겼어요 시벌,0,0.73,0.03,0.01,0.02,0.01,0.01,0.01,0.04,0.36,0.06
한녀들 소신투표해도 그거 아무도 안 알아줘 이재명 지금 여자표 받을라고 응디 존나 흔들고 있잖아 공약 이행률 95 고 윤석열 되면 펨코 일베 야갤하는 새끼들이 승리감에 도취 돼서 한녀 패는 플로우 지금보다 더 심해질 거고 한녀들이 이재명 안 뽑아주면 다음대선엔 민주당도 한남 눈치만 볼거임,0,0.72,0.43,0.01,0.05,0.02,0.02,0.02,0.02,0.04,0.03
아 심상정은 자기 원래 필드 4050 블루칼라 표나 잡을 것이지 그 표는 이재명한테 다 뺏기고 여자들 표를 갈라먹는데 아주 넌덜머리가 난다 진짜 정신 못 차리고 소신투표 심상정 ㅋㅋㅋㅋ 표 분산되면 우리 진짜 죽어요,0,0.72,0.02,0.01,0.03,0.01,0.02,0.01,0.03,0.21,0.08
아직도 페미니즘을 위해 심을 뽑아야 한다 어쩐다 하는 사람들 진짜 머리가 꽃밭이거나 너무 어려서 이명박근혜 시절을 모르거나 ㅅㅊ지 작전세력이거나 뭐 그런 거 아니냐 서울시 보궐선거에서 소신투표해서 그래서 뭘 얻으셨음,0,0.72,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.16
얘들아 솔직히 뽑을 사람 진짜 없다 근데 안 뽑을 사람은 확실하고 난 이때야말로 소신투표는 안해야된다고 본다 여자들의 몰표에 따라 나라가 달렸어 ㅅㅂ,0,0.72,0.02,0.01,0.02,0.02,0.04,0.01,0.06,0.31,0.04
아니 그냥 상식선에서 여가부폐지 진짜 가능할까 하는데 늘 내 상실을 띄어넘고 빙글빙글 돌아가는 나라라 모르겠음 이제 대선 신경써서 전략투표 소신투표 걍 머가리 터질 것 같음,0,0.71,0.01,0.01,0.04,0.01,0.02,0.01,0.06,0.23,0.09
소신투표에 눈치 줬다고 ㅈㄹㅈㄹ하며 두고보자하던 세력들이 왜 다 심상정 버리고 그리로 붙음 항상 정치 판도를 못읽던 트위터는 한결같음 보지 찢겠다던 인간이 페미를 해준다니 그저 감사한거임ㅋㅋㅋ 개돼지가 여기있나,0,0.71,0.02,0.01,0.02,0.01,0.02,0.01,0.07,0.33,0.06
