text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
희대의 신조어 이번남 을 본 뒤 가벼운 마음으로 소신투표 하고 옴 윤이 대통령 되면 다 이번남들 때문이것지 윤이 대통령이 돼도 한 번 이번남은 영원한 이번남일 테니 이걸로 됐다,1,0.03,0.78,0.02,0.03,0.01,0.03,0.01,0.02,0.09,0.17
소신투표로 골머리 싸매는 거 보니까 존나 재밌음 왜 재밌냐고 내가 이낙연 찍어달라고 할 때 개무시하던 새끼들 엿먹고 있어서 ㅎㅎ 응 니들이 자초한 개쓰레기 최악의 대선이야 니들이 팔자 좋게 애미추 찍다가 이 꼬라지 났는데 누굴 탓함 알아서 잘 살아 나는 삼씹남이라 걱정 ㄴㄴ,0,0.07,0.77,0.01,0.04,0.05,0.02,0.01,0.02,0.1,0.03
핸냄들 기세등등은 유구한 역사고 트위터에서나 불붙어서 싸우지 다른 곳으로 눈 돌리면 여전히 페미는 정신병 취급을 받고 있다 대통령이 바뀐다고 내 삶이 미라클하게 나아진 적도 없으니 그냥 소신 투표 할 거임,0,0.35,0.75,0.02,0.03,0.02,0.01,0.01,0.02,0.04,0.03
아 나도ㅋㅋㅋ어제 시전투표하러 갔는데 젊어보이는 남자들 전부 2번남같이 생겨가지고ㅋㅋㅋㅋ어휴 꼴에 소신투표하겠다고 집밖으로 나왔나보다 싶었는데ㅋㅋㅋㅋㅋ,0,0.08,0.74,0.02,0.01,0.06,0.01,0.01,0.03,0.12,0.07
진짜 이번남 존나많음 여성 여러분들 꼭 투표하세요 전략투표든 소신투표든 꼭 해주세요,1,0.1,0.73,0.02,0.01,0.02,0.02,0.01,0.02,0.09,0.1
ㅇㅈㅁ이 대통령 안되면 그 책임이 소신투표에 있다는 비난은진짜 이해 안됨 그남들 표는 어차피 버린다고 생각해서 여자만 욕한다 거기에 무슨 정의가 있나요 표 결집을 원한다면 강요비난하지 말고 설득하세요,0,0.11,0.72,0.04,0.01,0.01,0.02,0.01,0.02,0.11,0.1
소신투표 하고 싶었는데 펨코남들이랑 윤지지자들이 발악하는거보니까 어케든 윤 막을려고 이 찍어야할거같음,0,0.07,0.69,0.05,0.17,0.01,0.01,0.01,0.02,0.07,0.06
소신투표를 뭐라 할 순 없는 입장이지만 양당제인 이상 정권은 강자의 손만 들어줍니다 2번이 당선되는 순간 2번의 주요 지지층인 20대 펨코남들에게 주도권이 쏠리게 됩니다 부탁드려요 나라를 망칠 수는 없잖아요,0,0.04,0.68,0.03,0.18,0.02,0.02,0.0,0.01,0.04,0.1
허구헌날 죽어나가던 20대여성이 이번 선거에서는 아주 중요한 사람들이 되었네 다행이긴 하다 그러나 구호는 구호일 뿐 실체와 행동이 중요한데 잘못했다고 했잖아 씨발년아 하고 하던짓 더 하는 한남에게 당해본 적이 있어서 잘 안믿김 40 50 한녀들보다 훨씬 똑똑하니까 소신투표 하세요,0,0.45,0.68,0.01,0.03,0.03,0.01,0.01,0.02,0.05,0.04
제가 자캐로 만화를 그려서 타장 ex 뜰팁 비율이 우주끝까지 소신투표해주세요,0,0.04,0.68,0.02,0.04,0.01,0.02,0.01,0.01,0.11,0.15
자꾸 1에 속지말라는 말들이 있으나 후보에 그성별중 쓰레기 아닌 사람이 어디있을것이야 소신투표했다가는 나중에 소신투표 기회조차 사라질 것 같고요 그러니까 시발 그남만큼은 막아야 하 누가 모르냐 1도 쓰레긴거ㅋㅋㄱㄱㅋㅋㅋㄱ,0,0.01,0.67,0.06,0.02,0.02,0.04,0.01,0.04,0.25,0.04
나는 아직 1번을 해야할지 3번을 해야할지모르겠다 나는 늘 소신투표파라 3번분에게 5 이상 달성하겠끔도와주고 싶은데 그남들이 원하는 2번을 하게해주고 싶지않아 진짜 나라망해 그나마 1번 조직에 괜찮으신분이 들어가서 여성정책은 괜찮은편인데,0,0.13,0.63,0.02,0.02,0.01,0.02,0.01,0.01,0.07,0.16
젊은 한녀들은 너무 순진해서 언제 보답받을지도 불투명한 소신투표에 대한 국가의 응답 을 기다리면서 심상정 뽑는다고 할때 한남충들은 표분산으로 윤석열을 당선시키기 위해 심상정 뽑는 여자들을 부추기고 있음 이게 뭘 시사하는지는ㅋㅋ,0,0.55,0.61,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.04
